Inventory_ID,Warehouse_ID,Product_ID,Inventory_Date,Stock_Quantity,Reserved_Quantity,Damaged_Quantity
1,811,14176,2025-04-18,4055,952,44
2,500,5178,2025-03-15,705,322,45
3,556,4196,2025-01-19,3837,16,26
4,41,7452,2025-06-21,1290,965,20
5,610,17203,2025-05-26,3794,601,2
6,920,5489,2025-05-10,4948,362,50
7,210,425,2025-02-07,1330,695,28
8,163,12087,2025-08-07,3926,758,8
9,566,13572,2025-05-12,4957,209,24
10,737,8352,2025-06-18,3721,535,50
11,853,12406,2025-04-16,1474,913,90
12,594,2267,2025-01-10,4663,812,44
13,362,16939,2025-08-13,3488,253,94
14,485,16270,2025-01-28,702,636,29
15,198,18718,2025-06-16,2505,940,77
16,611,17823,2025-03-05,1373,984,45
17,122,19375,2025-04-23,2927,868,83
18,757,1461,2025-02-14,1451,335,48
19,677,10658,2025-05-07,3639,36,2
20,165,1253,2025-06-25,3840,368,24
21,833,10199,2025-03-18,1712,334,49
22,599,18069,2025-03-04,4546,346,13
23,102,15266,2025-05-24,438,811,57
24,656,612,2025-02-26,1507,642,15
25,799,3983,2025-03-07,410,683,26
26,222,8062,2025-02-10,2364,553,93
27,759,911,2025-05-27,2049,141,80
28,312,10177,2025-08-06,3887,147,93
29,578,3314,2025-03-29,3069,158,87
30,738,13102,2025-05-24,4782,89,80
31,666,18750,2025-05-07,2658,526,20
32,513,6099,2025-04-11,1928,538,37
33,520,15370,2025-07-02,3372,594,68
34,783,431,2025-02-23,378,157,96
35,982,1933,2025-01-27,81,890,5
36,850,6543,2025-05-22,4783,926,48
37,282,5150,2025-02-20,2889,465,88
38,89,12011,2025-07-15,3282,617,9
39,205,143,2025-01-04,1607,385,54
40,446,2290,2025-06-14,858,730,10
41,882,7053,2025-08-19,250,312,84
42,630,14042,2025-05-10,1726,936,93
43,515,125,2025-05-14,2913,263,18
44,504,4552,2025-04-08,3474,820,99
45,410,15895,2025-08-12,1509,222,56
46,450,18235,2025-05-28,281,196,38
47,966,11339,2025-07-25,1830,472,57
48,624,8100,2025-01-03,1778,664,69
49,712,2383,2025-02-11,122,160,99
50,337,14722,2025-03-29,1065,89,43
51,145,19394,2025-01-19,3713,318,17
52,489,10822,2025-01-31,2179,791,25
53,746,7005,2025-06-14,2061,123,95
54,272,18248,2025-06-18,1756,748,72
55,435,17697,2025-07-27,2684,483,44
56,989,8936,2025-05-04,1720,313,78
57,426,17425,2025-08-12,2174,807,82
58,803,15110,2025-03-13,2275,304,79
59,700,7942,2025-07-15,191,18,36
60,438,19149,2025-05-19,4317,52,52
61,174,4546,2025-07-16,4456,224,31
62,797,6437,2025-01-01,2065,785,37
63,549,8270,2025-06-26,1324,693,24
64,749,11284,2025-01-20,3705,778,55
65,500,7726,2025-08-21,4041,614,8
66,944,7324,2025-05-26,2409,895,39
67,654,9198,2025-07-19,3894,568,32
68,562,10349,2025-04-27,1055,902,95
69,853,3922,2025-03-29,2670,845,64
70,508,8614,2025-02-28,185,94,19
71,415,14475,2025-05-03,3887,127,62
72,980,6576,2025-02-24,3781,394,95
73,676,14091,2025-03-30,1553,307,82
74,924,6247,2025-04-01,2044,131,82
75,302,2843,2025-05-19,2403,815,97
76,874,13,2025-04-19,46,665,83
77,552,19510,2025-05-11,3652,300,33
78,702,3594,2025-02-16,2368,303,72
79,156,18974,2025-06-02,3576,162,94
80,607,18844,2025-08-06,2358,122,64
81,821,12539,2025-06-14,4313,385,94
82,840,17141,2025-06-23,4713,893,70
83,396,10196,2025-01-19,2374,487,64
84,981,9926,2025-04-05,877,510,68
85,970,7714,2025-03-05,3287,196,67
86,5,10284,2025-05-26,4701,930,10
87,27,3778,2025-07-13,3405,412,61
88,386,2241,2025-07-21,1306,432,55
89,875,13092,2025-08-11,1210,36,79
90,998,15576,2025-04-07,4551,749,76
91,842,18247,2025-05-20,3791,455,48
92,708,4573,2025-04-04,1393,416,84
93,489,750,2025-04-19,2281,706,65
94,31,1815,2025-05-07,2877,875,50
95,522,12063,2025-05-05,1061,716,3
96,70,8233,2025-04-30,451,375,17
